,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,updateTimeStamp,updateYear,address,geolatitude,geolongitude,latitude,longitude
19,1010873,21st Street Farmers Market,,,,,,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,06/05/2015 to 10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,-95.71451400000001,39.028184,,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,3/2/15 10:46,2015-03-02 10:46:00,2015,"SW 21st and Oakley, Topeka, Kansas 66604",,,39.028184,-95.71451400000001
20,1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.181286,39.932257,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 14:29,2015-03-24 14:29:00,2015,"22nd and Tasker Streets, Philadelphia, Pennsylvania 19146",,,39.932257,-75.181286
21,1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,06/25/2016 to 11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.99435799999999,40.404837,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,7/6/16 14:37,2016-07-06 14:37:00,2016,"71 Waterwitch Avenue, Highlands, New Jersey 7732",40.404485,-73.993973,40.404485,-73.993973
22,1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),475 East 2500 North,North Logan,Cache,Utah,84341,05/07/2016 to 10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.8206049,41.778243700000004,,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,4/18/16 10:33,2016-04-18 10:33:00,2016,"475 East 2500 North, North Logan, Utah 84341",41.77782489609685,-111.82005557173838,41.77782489609685,-111.82005557173838
23,1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.17228829999999,40.0040946,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 15:17,2015-03-24 15:17:00,2015,"26th Street and W Allegheny Avenue, Philadelphia, Pennsylvania 19129",,,40.0040946,-75.17228829999999
24,1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.19204,39.9373,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 14:47,2015-03-24 14:47:00,2015,"29th and Wharton Streets, Philadelphia, Pennsylvania 19146",,,39.9373,-75.19204
25,1010994,2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,,,,194 second street,Amherst,Amherst,Virginia,24521,05/05/2016 to 09/01/2016,Thu: 3:30 PM-6:30 PM;,,,,,,,-79.048573,37.583311,,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,3/4/16 13:51,2016-03-04 13:51:00,2016,"194 second street, Amherst, Virginia 24521",,,37.583311,-79.048573
26,1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,01/01/2016 to 12/31/2016,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,-84.18103,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,6/30/16 14:35,2016-06-30 14:35:00,2016,"600 E. 2nd Street, Dayton, Ohio 45402",39.762581,-84.181722,39.762581,-84.181722
27,1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,05/10/2014 to 10/11/2014,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,-88.425186,41.356383,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,4/4/14 23:58,2014-04-04 23:58:00,2014,"123 W. Illinois ave. , Morris, Illinois 60450",41.356340822830305,-88.42407768815615,41.356340822830305,-88.42407768815615
28,1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,01/18/2015 to 01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,,-86.00275400000001,30.279017,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,1/16/15 18:38,2015-01-16 18:38:00,2015,"Rosmary Beach Town Center, Rosemary Beach, Florida 32461",,,30.279017,-86.00275400000001
29,1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt	,,https://www.instagram.com/31mainfarmersmarket ,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,06/11/2017 to 10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.783289,40.268253,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/12/17 13:42,2017-07-12 13:42:00,2017,"1928 Pennington Road, Ewing, New Jersey 8618",40.268537,-74.783891,40.268537,-74.783891
30,1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611,39.3272,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/14/14 13:23,2014-03-14 13:23:00,2014,"E. 32nd & Barclay Street, Baltimore, Maryland 21218",,,39.3272,-76.611
31,1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,06/01/2015 to 11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,-75.187167,39.988802,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 14:28,2015-03-24 14:28:00,2015,"N 33rd and Diamond Streets, Philadelphia, Pennsylvania 19121",,,39.988802,-75.187167
32,1018389,38th & Meridian Farmer's Market ,,,,,,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,06/01/2017 to 09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,-86.1575468,39.8255595,,Y,N,Y,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/26/17 8:19,2017-06-26 08:19:00,2017,"3808 N Meridian St, Indianapolis, Indiana 46208",39.8255686,-86.1575503,39.8255686,-86.1575503
33,1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,06/09/2016 to 08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,-119.754962,39.534773,,Y,Y,Y,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,7/6/16 17:19,2016-07-06 17:19:00,2016,"Downtown Sparks Victorian Ave, Sparks, Nevada 89431",,,39.534773,-119.754962
34,1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,3rd & Curry Street,Carson City,Carson City,Nevada,89703,June to September,Sat:8:30 AM - 1:30 PM;,,,,,,,-119.7678,39.16257,Local government building grounds,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/18/12 16:12,2012-05-18 16:12:00,2012,"3rd & Curry Street, Carson City, Nevada 89703",39.1347793,-119.7715999,39.1347793,-119.7715999
35,1011213,441 Ministries Farm Stand,,,,,,441 Parsells Avenue,Rochester,Monroe,New York,14609,,Tue: 3:00 PM-7:00 PM;,,,,,,,-77.5666043,43.1658344,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/8/15 9:22,2015-06-08 09:22:00,2015,"441 Parsells Avenue, Rochester, New York 14609",43.1657043,-77.5666906,43.1657043,-77.5666906
36,1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,06/01/2015 to 11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,-75.138654,39.991748,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 15:11,2015-03-24 15:11:00,2015,"N 4th Street and W. Lehigh Avenue, Philadelphia, Pennsylvania 19133",,,39.991748,-75.138654
37,1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,315 East 4th St.,Larimer,,Colorado,,,,,,,,,,-105.073,40.3954,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011-01-01 00:00:00,2011,,46.3144754,11.0480288,40.3954,-105.073
38,1006494,52 & Shadeland Avenue Farmers Market,,,,,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,,,,,,,,,-86.0476,39.8481,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"5200 N. Shadeland Avenue, Indianapolis, Indiana 46226",39.847301,-86.046273,39.847301,-86.046273
39,1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.224492,39.965053999999995,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 14:38,2015-03-24 14:38:00,2015,"N 52nd Street and Haverford Avenue, Philadelphia, Pennsylvania 19139",,,39.965053999999995,-75.224492
40,1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 57 St. & 9 Ave,New York,New York,New York,10019,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985839,40.768159000000004,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/13 11:06,2013-07-24 11:06:00,2013,"W 57 St. & 9 Ave, New York, New York 10019",40.7663422,-73.9819929,40.7663422,-73.9819929
41,1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,06/01/2015 to 11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228303,39.935721,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/15 14:35,2015-03-24 14:35:00,2015,"58th Street and Chester Avenue, Philadelphia, Pennsylvania 19143",,,39.935721,-75.228303
42,1018426,61st Street Farmers Market,http://61market.org,facebook.com/61market,@61market,,Instagram: @61market,61st Street and Dorchester Ave,Chicago ,Cook,Illinois,60637,05/13/2017 to 12/16/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.59142059999999,41.7841961,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,6/27/17 13:04,2017-06-27 13:04:00,2017,"61st Street and Dorchester Ave, Chicago , Illinois 60637",41.7845164,-87.591304,41.7845164,-87.591304
43,1012500,6th Street Market in Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,6th Street and Mill Avenue,Tempe ,Maricopa,Arizona,85281,10/02/2016 to 05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.93951200000001,33.42442,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,7/12/16 15:50,2016-07-12 15:50:00,2016,"6th Street and Mill Avenue, Tempe , Arizona 85281",33.4249743,-111.939974,33.4249743,-111.939974
44,1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.7818,Other,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/13 10:54,2013-07-24 10:54:00,2013,"Columbus - W 78 & 81 Sts., New York, New York 10024",,,40.7818,-73.9757
