FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,updateTimeStamp,address,latitude,longitude,Season1Start,Season2Start,Season3Start,Season4Start,Season1End,Season2End,Season3End,Season4End,Season1SunStartTime,Season1SunEndTime,Season1MonStartTime,Season1MonEndTime,Season1TueStartTime,Season1TueEndTime,Season1WedStartTime,Season1WedEndTime,Season1ThuStartTime,Season1ThuEndTime,Season1FriStartTime,Season1FriEndTime,Season1SatStartTime,Season1SatEndTime,Season2SunStartTime,Season2SunEndTime,Season2MonStartTime,Season2MonEndTime,Season2TueStartTime,Season2TueEndTime,Season2WedStartTime,Season2WedEndTime,Season2ThuStartTime,Season2ThuEndTime,Season2FriStartTime,Season2FriEndTime,Season2SatStartTime,Season2SatEndTime,Season3SunStartTime,Season3SunEndTime,Season3MonStartTime,Season3MonEndTime,Season3TueStartTime,Season3TueEndTime,Season3WedStartTime,Season3WedEndTime,Season3ThuStartTime,Season3ThuEndTime,Season3FriStartTime,Season3FriEndTime,Season3SatStartTime,Season3SatEndTime,Season4SunStartTime,Season4SunEndTime,Season4MonStartTime,Season4MonEndTime,Season4TueStartTime,Season4TueEndTime,Season4WedStartTime,Season4WedEndTime,Season4ThuStartTime,Season4ThuEndTime,Season4FriStartTime,Season4FriEndTime,Season4SatStartTime,Season4SatEndTime,PaymentList,ProductList
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,2016-12-16 12:06:00,"175th Street between Wadsworth & Broadway, New York , New York 10033",40.846354,-73.93804899999999,2017-06-29,,,,2017-11-22,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Bakedgoods, Cheese, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Fruits, Grains, Juices"
1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,2011-04-28 14:33:00,"1622 6th St NE, Minneapolis, Minnesota 55413",45.0044,-93.2591,2011-06-01,,,,2011-09-30,,,,,,,,,,15:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WIC, WICcash, SFMNP",Herbs
1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,2016-12-29 12:13:00,"100 North 17th St., Richmond , Virginia 23219",37.534461,-77.427683,2017-06-08,,,,unknown,,,,,,,,,,,,15:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SNAP","Bakedgoods, Cheese, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Meat, Poultry, Soap, Coffee, Fruits, Mushrooms"
1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,2015-03-24 15:33:00,"18th Street and Christian Street, Philadelphia, Pennsylvania 19146",39.940943,-75.17343100000001,2015-06-01,,,,2015-11-15,,,,,,,,,,,,15:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,2016-06-29 16:32:00,"18th and Broadway, Scottsbluff, Nebraska 69361",41.870223,-103.662882,2014-06-07,,,,2014-09-27,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Meat, Plants, Poultry, Prepared, Coffee, Beans, Fruits"
1018365,18th Street Farmers Market,,18th Street Farmers Market,,,,2017-06-23 08:02:00,"825 18th Street, Charleston , Illinois 61920",39.490334622464076,-88.16333633881635,2017-05-20,,,,2017-09-30,,,,,,,,,,,,,,,,08:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Bakedgoods, Crafts, Flowers, Herbs, Vegetables, Honey, Jams, Plants, Soap, Fruits"
1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,2016-08-19 16:07:00,"NE 7th Ave, Chiefland, Florida 32626",29.484838,-82.8587269,2016-09-03,2017-09-02,,,2017-06-24,2018-06-30,,,,,,,,,,,,,,,08:30,13:00,,,,,,,,,,,,,08:30,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Bakedgoods, Cheese, Crafts, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Plants, Poultry, Prepared, Soap, Trees, Beans, Fruits, Grains, Mushrooms, PetFood"
1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,2016-06-30 19:50:00,"13701 NE 171st Street, Woodinville, Washington 98072",47.750577711271234,-122.15642466495127,2016-01-01,,,,2016-12-31,,,,,,,,,,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SNAP","Organic, Bakedgoods, Cheese, Eggs, Seafood, Herbs, Honey, Jams, Meat, Nuts, Poultry, Prepared, Coffee, Beans, Fruits, Grains, Juices, Mushrooms"
1010873,21st Street Farmers Market,,,,,,2015-03-02 10:46:00,"SW 21st and Oakley, Topeka, Kansas 66604",39.028184,-95.71451400000001,2015-06-05,,,,2015-10-30,,,,,,,,,,,,,,07:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SFMNP","Organic, Bakedgoods, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Nuts, Plants, Prepared, Soap, Fruits, Grains"
1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,2015-03-24 14:29:00,"22nd and Tasker Streets, Philadelphia, Pennsylvania 19146",39.932257,-75.181286,2015-06-01,,,,2015-11-01,,,,,,,,14:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,2016-07-06 14:37:00,"71 Waterwitch Avenue, Highlands, New Jersey 7732",40.404485,-73.993973,2016-06-25,,,,2016-11-05,,,,,,,,,,,,,,,,08:30,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Bakedgoods, Cheese, Crafts, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Nuts, Plants, Soap, Fruits, WildHarvested"
1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),2016-04-18 10:33:00,"475 East 2500 North, North Logan, Utah 84341",41.77782489609685,-111.82005557173838,2016-05-07,,,,2016-10-15,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Bakedgoods, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Plants, Prepared, Soap, Fruits, Grains, Mushrooms"
1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,2015-03-24 15:17:00,"26th Street and W Allegheny Avenue, Philadelphia, Pennsylvania 19129",40.0040946,-75.17228829999999,2015-06-01,,,,2015-11-15,,,,,,,,,,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,2015-03-24 14:47:00,"29th and Wharton Streets, Philadelphia, Pennsylvania 19146",39.9373,-75.19204,2015-06-01,,,,2015-11-15,,,,,,,,14:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1010994,2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,,,,2016-03-04 13:51:00,"194 second street, Amherst, Virginia 24521",37.583311,-79.048573,2016-05-05,,,,2016-09-01,,,,,,,,,,,,15:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Bakedgoods, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Nuts, Plants, Poultry, Prepared, Soap, Trees, Wine, Fruits, Mushrooms, PetFood, WildHarvested"
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,2016-06-30 14:35:00,"600 E. 2nd Street, Dayton, Ohio 45402",39.762581,-84.181722,2016-01-01,,,,2016-12-31,,,,,,,,,,,,11:00,15:00,11:00,15:00,08:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WICcash, SNAP","Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Meat, Nuts, Plants, Poultry, Prepared, Soap, Wine, Coffee, Beans, Fruits, Grains, Juices, Mushrooms, PetFood"
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,2014-04-04 23:58:00,"123 W. Illinois ave. , Morris, Illinois 60450",41.356340822830305,-88.42407768815615,2014-05-10,2014-11-14,,,2014-10-11,2014-11-15,,,,,,,,,,,,,,,08:00,14:00,,,,,,,,,,,16:30,22:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Maple, Meat, Plants, Poultry, Prepared, Soap, Trees, Coffee, Fruits, PetFood"
1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,2015-01-16 18:38:00,"Rosmary Beach Town Center, Rosemary Beach, Florida 32461",30.279017,-86.00275400000001,2015-01-18,,,,2020-01-05,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit,"Bakedgoods, Cheese, Crafts, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Meat, Nuts, Plants, Poultry, Prepared, Soap, Trees, Coffee, Beans, Fruits, Grains, Juices, Mushrooms, PetFood, WildHarvested"
1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt	,,https://www.instagram.com/31mainfarmersmarket ,2017-07-12 13:42:00,"1928 Pennington Road, Ewing, New Jersey 8618",40.268537,-74.783891,2017-06-11,,,,2017-10-29,,,,10:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP","Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Plants, Prepared, Fruits"
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,2014-03-14 13:23:00,"E. 32nd & Barclay Street, Baltimore, Maryland 21218",39.3272,-76.611,2013-01-01,,,,2013-12-31,,,,,,,,,,,,,,,,07:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Nuts, Plants, Poultry, Prepared, Fruits"
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,2015-03-24 14:28:00,"N 33rd and Diamond Streets, Philadelphia, Pennsylvania 19121",39.988802,-75.187167,2015-06-01,,,,2015-11-01,,,,,,,,,,,,14:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1018389,38th & Meridian Farmer's Market ,,,,,,2017-06-26 08:19:00,"3808 N Meridian St, Indianapolis, Indiana 46208",39.8255686,-86.1575503,2017-06-01,,,,2017-09-21,,,,,,,,,,,,16:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WICcash, SNAP","Bakedgoods, Cheese, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Maple, Meat, Poultry, Prepared, Soap, Coffee, Fruits, Juices, PetFood"
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,2016-07-06 17:19:00,"Downtown Sparks Victorian Ave, Sparks, Nevada 89431",39.534773,-119.754962,2016-06-09,,,,2016-08-18,,,,,,,,,,,,16:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP","Bakedgoods, Cheese, Crafts, Flowers, Herbs, Vegetables, Honey, Jams, Maple, Nuts, Plants, Prepared, Soap, Beans, Fruits, Juices, PetFood, WildHarvested"
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,2012-05-18 16:12:00,"3rd & Curry Street, Carson City, Nevada 89703",39.1347793,-119.7715999,2012-06-01,,,,2012-09-30,,,,,,,,,,,,,,,,08:30,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFMNP,"Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Nursery, Nuts, Plants, Prepared, Soap"
1011213,441 Ministries Farm Stand,,,,,,2015-06-08 09:22:00,"441 Parsells Avenue, Rochester, New York 14609",43.1657043,-77.5666906,,,,,,,,,,,,,15:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SNAP","Vegetables, Fruits"
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,2015-03-24 15:11:00,"N 4th Street and W. Lehigh Avenue, Philadelphia, Pennsylvania 19133",39.991748,-75.138654,2015-06-01,,,,2015-11-22,,,,,,,,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,2011-01-01 00:00:00,,40.3954,-105.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash only,Unknown
1006494,52 & Shadeland Avenue Farmers Market,,,,,,2009-01-01 00:00:00,"5200 N. Shadeland Avenue, Indianapolis, Indiana 46226",39.847301,-86.046273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash only,Unknown
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,2015-03-24 14:38:00,"N 52nd Street and Haverford Avenue, Philadelphia, Pennsylvania 19139",39.965053999999995,-75.224492,2015-06-01,,,,2015-11-15,,,,,,,,,,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24 11:06:00,"W 57 St. & 9 Ave, New York, New York 10019",40.7663422,-73.9819929,2013-04-20,,,,2013-12-21,,,,,,,,,,08:00,17:00,,,,,08:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Bakedgoods, Cheese, Eggs, Vegetables, Meat, Poultry, Fruits"
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,2015-03-24 14:35:00,"58th Street and Chester Avenue, Philadelphia, Pennsylvania 19143",39.935721,-75.228303,2015-06-01,,,,2015-11-01,,,,,,,,,,14:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Vegetables, Fruits"
1018426,61st Street Farmers Market,http://61market.org,facebook.com/61market,@61market,,Instagram: @61market,2017-06-27 13:04:00,"61st Street and Dorchester Ave, Chicago , Illinois 60637",41.7845164,-87.591304,2017-05-13,,,,2017-12-16,,,,,,,,,,,,,,,,09:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Maple, Meat, Plants, Poultry, Prepared, Soap, Coffee, Fruits, Juices, Mushrooms, WildHarvested"
1012500,6th Street Market in Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,2016-07-12 15:50:00,"6th Street and Mill Avenue, Tempe , Arizona 85281",33.4249743,-111.939974,2016-10-02,,,,2017-05-28,,,,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Crafts, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Meat, Nuts, Plants, Poultry, Prepared, Soap, Trees, Coffee, Beans, Fruits, Grains, Juices, Mushrooms, PetFood, Tofu, WildHarvested"
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24 10:54:00,"Columbus - W 78 & 81 Sts., New York, New York 10024",40.7818,-73.9757,2013-01-01,,,,2013-12-31,,,,08:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Bakedgoods, Cheese, Flowers, Eggs, Seafood, Herbs, Vegetables, Honey, Jams, Maple, Meat, Plants, Poultry, Prepared, Fruits"
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24 10:50:00,"E 82nd St. - 1st & York Ave, New York, New York 10028",40.773749,-73.95009,2013-01-01,,,,2013-12-31,,,,,,,,,,,,,,,,09:00,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Organic, Bakedgoods, Cheese, Seafood, Vegetables, Honey, Meat, Poultry, Fruits"
1008391,84 west farmers market (Dothan),,,,,,2014-03-15 09:29:00,,31.232252000000003,-85.44994399999999,2013-06-06,,,,2013-08-08,,,,,,,,,,,,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, SFMNP","Bakedgoods, Crafts, Vegetables, Honey, Jams, Prepared, Soap, Fruits"
1001961,8th Avenue City Farmers Market,,,,,,2012-04-25 13:17:00,"8th Ave & 2nd St SE, Cedar Rapids, Iowa 52401",41.972837,-91.66265340000001,2012-05-01,,,,2012-10-31,,,,,,,,16:00,18:00,,,,,,,07:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, SFMNP","Bakedgoods, Cheese, Crafts, Flowers, Eggs, Herbs, Vegetables, Honey, Jams, Meat, Nursery, Plants, Poultry, Prepared, Soap, Trees"
1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24 10:43:00,"1st Ave - E 92nd & 93 Sts., New York, New York 10128",40.780931,-73.946421,2013-06-23,,,,2013-11-24,,,,09:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credit, WIC, WICcash, SFMNP, SNAP","Organic, Bakedgoods, Seafood, Vegetables, Meat, Fruits"
